# eps,sigma_cm2
# He electron impact ionization cross section (a_11s coefficients)
# eps = E_beam/IE_He (dimensionless)  sigma_cm2: cross section [cm^2]
5.004670050360837230e+00,3.789616659078556619e-17
5.023262972011476535e+00,3.789425523097437071e-17
5.041924968492630832e+00,3.789185925203389879e-17
5.060656296425195322e+00,3.788898078497120749e-17
5.079457213383440362e+00,3.788562197112251371e-17
5.098327977898557073e+00,3.788178496189009053e-17
5.117268849462209168e+00,3.787747191848151790e-17
5.136280088530096322e+00,3.787268501165089927e-17
5.155361956525550404e+00,3.786742642144238937e-17
5.174514715843112178e+00,3.786169833693563244e-17
5.193738629852151512e+00,3.785550295599363497e-17
5.213033962900487595e+00,3.784884248501260429e-17
5.232400980318018036e+00,3.784171913867385798e-17
5.251839948420375492e+00,3.783413513969826631e-17
5.271351134512582526e+00,3.782609271860240171e-17
5.290934806892729547e+00,3.781759411345715970e-17
5.310591234855669640e+00,3.780864156964843205e-17
5.330320688696714271e+00,3.779923733963993696e-17
5.350123439715350315e+00,3.778938368273831726e-17
5.369999760218978402e+00,3.777908286486020455e-17
5.389949923526650366e+00,3.776833715830164998e-17
5.409974203972825357e+00,3.775714884150960107e-17
5.430072876911154367e+00,3.774552019885568356e-17
5.450246218718253211e+00,3.773345352041183207e-17
5.470494506797507483e+00,3.772095110172848464e-17
5.490818019582892617e+00,3.770801524361465075e-17
5.511217036542794823e+00,3.769464825192025349e-17
5.531691838183859566e+00,3.768085243732051174e-17
5.552242706054844490e+00,3.766663011510267650e-17
5.572869922750491867e+00,3.765198360495472097e-17
5.593573771915421489e+00,3.763691523075618145e-17
5.614354538248019999e+00,3.762142732037130941e-17
5.635212507504360424e+00,3.760552220544418336e-17
5.656147966502139468e+00,3.758920222119595923e-17
5.677161203124605926e+00,3.757246970622430254e-17
5.698252506324530842e+00,3.755532700230505764e-17
5.719422166128181217e+00,3.753777645419564877e-17
5.740670473639301719e+00,3.751982040944102650e-17
5.761997721043117693e+00,3.750146121818146293e-17
5.783404201610363060e+00,3.748270123296244242e-17
5.804890209701300208e+00,3.746354280854675244e-17
5.826456040769775413e+00,3.744398830172858975e-17
5.848101991367283148e+00,3.742404007114967566e-17
5.869828359147033048e+00,3.740370047711765782e-17
5.891635442868058625e+00,3.738297188142616976e-17
5.913523542399312660e+00,3.736185664717744819e-17
5.935492958723793677e+00,3.734035713860651558e-17
5.957543993942693739e+00,3.731847572090779717e-17
5.979676951279539132e+00,3.729621476006340197e-17
6.001892135084364810e+00,3.727357662267374571e-17
6.024189850837908367e+00,3.725056367578993022e-17
6.046570405155797800e+00,3.722717828674827985e-17
6.069034105792772138e+00,3.720342282300681307e-17
6.091581261646919820e+00,3.717929965198364922e-17
6.114212182763916203e+00,3.715481114089752926e-17
6.136927180341292143e+00,3.712995965661009895e-17
6.159726566732717679e+00,3.710474756547031230e-17
6.182610655452285719e+00,3.707917723316073920e-17
6.205579761178836584e+00,3.705325102454574673e-17
6.228634199760273660e+00,3.702697130352160322e-17
6.251774288217910147e+00,3.700034043286867780e-17
6.275000344750836234e+00,3.697336077410522993e-17
6.298312688740283605e+00,3.694603468734338068e-17
6.321711640754019257e+00,3.691836453114677263e-17
6.345197522550764191e+00,3.689035266239028820e-17
6.368770657084602327e+00,3.686200143612137655e-17
6.392431368509429390e+00,3.683331320542345741e-17
6.416179982183416897e+00,3.680429032128106276e-17
6.440016824673470808e+00,3.677493513244683373e-17
6.463942223759734595e+00,3.674524998531026153e-17
6.487956508440093195e+00,3.671523722376840048e-17
6.512060008934693833e+00,3.668489918909818973e-17
6.536253056690491725e+00,3.665423821983065451e-17
6.560535984385803765e+00,3.662325665162687632e-17
6.584909125934883534e+00,3.659195681715570711e-17
6.609372816492519398e+00,3.656034104597325231e-17
6.633927392458633499e+00,3.652841166440403015e-17
6.658573191482910936e+00,3.649617099542397378e-17
6.683310552469450272e+00,3.646362135854496782e-17
6.708139815581411369e+00,3.643076506970133261e-17
6.733061322245701419e+00,3.639760444113772578e-17
6.758075415157669852e+00,3.636414178129894828e-17
6.783182438285815685e+00,3.633037939472130955e-17
6.808382736876517960e+00,3.629631958192559519e-17
6.833676657458793713e+00,3.626196463931184026e-17
6.859064547849047067e+00,3.622731685905560642e-17
6.884546757155860064e+00,3.619237852900587373e-17
6.910123635784800378e+00,3.615715193258459649e-17
6.935795535443222803e+00,3.612163934868785526e-17
6.961562809145124930e+00,3.608584305158853114e-17
6.987425811215984162e+00,3.604976531084060709e-17
7.013384897297638254e+00,3.601340839118504079e-17
7.039440424353180958e+00,3.597677455245703037e-17
7.065592750671858546e+00,3.593986604949506118e-17
7.091842235874004530e+00,3.590268513205132079e-17
7.118189240915985039e+00,3.586523404470357460e-17
7.144634128095159298e+00,3.582751502676869927e-17
7.171177261054859642e+00,3.578953031221753507e-17
7.197819004789400843e+00,3.575128212959138373e-17
7.224559725649089437e+00,3.571277270191976964e-17
7.251399791345263246e+00,3.567400424663983434e-17
7.278339570955355775e+00,3.563497897551703749e-17
7.305379434927959714e+00,3.559569909456732465e-17
